link,lastmod
https://www.ndtv.com/education/after-15-20-years-three-gorakhpur-students-still-struggle-to-complete-mbbs-11275564,2026-03-27T20:12:00+05:30
https://www.ndtv.com/world-news/iran-war-live-news-fbi-chief-kash-patels-personal-email-breached-claim-iran-linked-hackers-11275556,2026-03-27T20:17:00+05:30
https://www.ndtv.com/offbeat/robert-kiyosaki-predicts-stock-market-crash-in-2026-backs-oil-real-estate-bitcoin-11275450,2026-03-27T19:48:00+05:30
https://www.ndtv.com/world-news/iran-war-news-alarmingly-low-pentagon-scrambles-after-us-fires-850-tomahawks-at-iran-11275393,2026-03-27T19:37:00+05:30
https://www.ndtv.com/india-news/maharashtras-fishing-industry-hits-rough-seas-as-rising-diesel-costs-anchor-boats-11275370,2026-03-27T19:34:00+05:30
https://www.ndtv.com/world-news/iran-war-news-live-from-iran-to-lebanon-how-middle-east-war-is-uprooting-millions-11275282,2026-03-27T19:22:00+05:30
https://www.ndtv.com/india-news/centre-forms-ministerial-group-to-address-middle-east-conflict-impact-11275190,2026-03-27T19:43:00+05:30
https://www.ndtv.com/india-news/noida-international-airport-flights-likely-soon-after-pm-modi-launch-11275100,2026-03-27T19:00:00+05:30
https://www.ndtv.com/education/karnataka-scraps-marks-for-third-language-in-sslc-introduces-grading-system-11275099,2026-03-27T18:53:00+05:30
https://www.ndtv.com/india-news/milkshake-murder-took-3-years-to-unravel-how-policewoman-killed-cop-father-11275083,2026-03-27T18:59:00+05:30
https://www.ndtv.com/india-news/bihar-man-slits-throat-of-minor-nephews-niece-with-cutter-attempts-suicide-11274984,2026-03-27T18:48:00+05:30
https://www.ndtv.com/education/parents-protest-outside-delhis-salwan-public-school-over-fee-dispute-and-removal-of-students-from-rolls-11274963,2026-03-27T18:26:00+05:30
https://www.ndtv.com/india-news/adani-group-honoured-with-net-zero-leadership-at-india-climate-week-2026-11274947,2026-03-27T19:25:00+05:30
https://www.ndtv.com/world-news/dubai-storm-lightning-gallery-beautiful-pictures-11274895,2026-03-27T18:21:00+05:30
https://www.ndtv.com/health/india-recorded-24-700-maternal-deaths-per-100-000-live-births-in-2023-global-analysis-11274878,2026-03-27T18:12:00+05:30
https://www.ndtv.com/offbeat/no-one-will-throw-this-box-man-shares-fathers-priceless-reaction-to-macbook-gift-11274872,2026-03-27T18:13:00+05:30
https://www.ndtv.com/education/bihar-board-10th-result-2026-official-announcement-expected-shortly-over-15-lakh-students-await-outcome-11274866,2026-03-27T18:07:00+05:30
https://www.ndtv.com/india-news/slovak-russian-nationals-detained-for-entering-mizoram-without-travel-permit-11274690,2026-03-27T18:17:00+05:30
https://www.ndtv.com/india-news/west-bengal-elections-2026-bengal-polls-bengal-politics-turns-salty-as-fish-takes-centrestage-in-trinamool-congress-bjp-fight-11274678,2026-03-27T17:47:00+05:30
https://www.ndtv.com/health/aiims-delhi-surgeons-remove-21-8-kg-uterine-sarcoma-in-high-risk-surgery-11274674,2026-03-27T17:34:00+05:30
https://www.ndtv.com/india-news/adani-ports-launches-indias-first-port-of-refuge-for-maritime-emergencies-11274645,2026-03-27T17:33:00+05:30
https://www.ndtv.com/india-news/maharashtra-woman-son-burnt-to-death-after-car-truck-collide-head-on-11274566,2026-03-27T17:18:00+05:30
https://www.ndtv.com/world-news/iran-war-live-insanity-us-senator-blames-donald-trump-as-iran-imposes-2-billion-fee-in-hormuz-11274554,2026-03-27T20:06:00+05:30
https://www.ndtv.com/world-news/iran-us-war-donald-trump-iran-israel-live-updates-exciting-announcement-tomorrow-white-house-post-amid-iran-invasion-buzz-11274534,2026-03-27T17:36:00+05:30
https://www.ndtv.com/offbeat/ceo-in-us-rewards-employees-with-rs-15-crore-bonus-after-high-stress-period-11274504,2026-03-27T17:58:00+05:30
https://www.ndtv.com/world-news/isro-nasa-explained-how-artemis-chandrayaan-programs-are-rewriting-lunar-story-11274479,2026-03-27T17:28:00+05:30
https://www.ndtv.com/education/iim-visakhapatnam-opens-admissions-for-executive-mba-programme-check-details-11274465,2026-03-27T17:00:00+05:30
https://www.ndtv.com/science/nasa-detects-comet-that-slowed-down-and-began-spinning-in-the-opposite-direction-11274456,2026-03-27T19:32:00+05:30
https://www.ndtv.com/health/why-young-adults-with-normal-cholesterol-may-still-face-heart-attack-risk-lipoprotein-a-explained-11274338,2026-03-27T17:29:00+05:30
https://www.ndtv.com/india-news/india-signs-rs-858-crore-deals-for-air-defence-missiles-navy-aircraft-maintenance-11274252,2026-03-27T17:48:00+05:30
https://www.ndtv.com/food/watch-stone-allegedly-found-in-lemon-rice-at-hyderabad-airport-workers-union-demands-action-11274230,2026-03-27T18:00:00+05:30
https://www.ndtv.com/india-news/will-review-rates-every-15-days-centre-after-petrol-diesel-excise-cut-11274166,2026-03-27T16:21:00+05:30
https://www.ndtv.com/world-news/uk-woman-who-claimed-rs-30-lakh-disability-benefits-caught-ziplining-on-holiday-11274149,2026-03-27T16:05:00+05:30
https://www.ndtv.com/offbeat/mans-4-km-noida-commute-in-45-minutes-highlights-traffic-challenges-sparks-debate-11274129,2026-03-27T16:48:00+05:30
https://www.ndtv.com/world-news/the-war-in-iran-sparks-a-global-fertiliser-shortage-and-threatens-food-prices-11274127,2026-03-27T17:19:00+05:30
