link,lastmod
https://www.spglobal.com/automotive-insights/en,2026-03-25T13:30:49.484Z
https://www.spglobal.com/automotive-insights/en/theme/automotive-supply-chain,2026-03-20T17:25:44.269Z
https://www.spglobal.com/automotive-insights/en/theme/electric-vehicle-industry,2026-03-25T13:33:04.313Z
https://www.spglobal.com/automotive-insights/en/theme/future-of-mobility,2026-03-20T17:23:17.62Z
https://www.spglobal.com/automotive-insights/en/theme/future-of-mobility/software-defined-vehicles,2026-03-20T17:18:15.411Z
https://www.spglobal.com/automotive-insights/en/blogs/2026/02/what-auto-marketers-and-dealers-need-to-know-about-the-dram-shortage,2026-03-25T11:39:05.642Z
https://www.spglobal.com/automotive-insights/en/blogs/2026/03/luxury-and-mainstream-vehicle-migration,2026-03-23T22:47:46.755Z
https://www.spglobal.com/automotive-insights/en/blogs/2026/03/ev-plans-us-cancellations-launches,2026-03-20T14:51:59.166Z
https://www.spglobal.com/automotive-insights/en/blogs/2026/03/ev-charging-readiness-and-consumer-insights,2026-03-24T09:28:53.016Z
https://www.spglobal.com/automotive-insights/en/blogs/2026-light-vehicle-production-forecast,2026-03-20T14:42:36.771Z
